name,value,color,ind_list
Columbia,13,#c6e3a7,Manufacturing
UMich,16,#c6e3a7,Manufacturing
Oxford,7,#c6e3a7,Manufacturing
UW,30,#c6e3a7,Manufacturing
UCLA,16,#c6e3a7,Manufacturing
NU,19,#c6e3a7,Manufacturing
Cambridge,8,#c6e3a7,Manufacturing
NYU,14,#c6e3a7,Manufacturing
USC,10,#c6e3a7,Manufacturing
UIUC,14,#c6e3a7,Manufacturing
Tel Aviv,16,#c6e3a7,Manufacturing
UT Austin,18,#c6e3a7,Manufacturing
Stanford,27,#5487b1,Security
Harvard,32,#63a1af,Security
MIT,11,#7ab8aa,Security
UPENN,19,#93caa8,Security
UC Berkeley,7,#add7a8,Security
Cornell,6,#c6e3a7,Security
CMU,6,#c6e3a7,Security
Columbia,6,#c6e3a7,Security
UMich,7,#c6e3a7,Security
Oxford,3,#c6e3a7,Security
UW,5,#c6e3a7,Security
UCLA,6,#c6e3a7,Security
NU,3,#c6e3a7,Security
Cambridge,3,#c6e3a7,Security
NYU,3,#c6e3a7,Security
USC,2,#c6e3a7,Security
UIUC,5,#c6e3a7,Security
Tel Aviv,2,#c6e3a7,Security
UT Austin,7,#c6e3a7,Security
Stanford,187,#5487b1,Software
Harvard,149,#63a1af,Software
MIT,77,#7ab8aa,Software
UPENN,93,#93caa8,Software
UC Berkeley,110,#add7a8,Software
Cornell,48,#c6e3a7,Software
CMU,47,#c6e3a7,Software
Columbia,30,#c6e3a7,Software
UMich,38,#c6e3a7,Software
Oxford,33,#c6e3a7,Software
UW,35,#c6e3a7,Software
UCLA,40,#c6e3a7,Software
NU,36,#c6e3a7,Software
Cambridge,24,#c6e3a7,Software
NYU,24,#c6e3a7,Software
USC,27,#c6e3a7,Software
UIUC,25,#c6e3a7,Software
Tel Aviv,12,#c6e3a7,Software
UT Austin,27,#c6e3a7,Software
Stanford,48,#5487b1,Transportation
Harvard,19,#63a1af,Transportation
MIT,12,#7ab8aa,Transportation
UPENN,8,#93caa8,Transportation
UC Berkeley,11,#add7a8,Transportation
Cornell,5,#c6e3a7,Transportation
CMU,10,#c6e3a7,Transportation
Columbia,2,#c6e3a7,Transportation
UMich,7,#c6e3a7,Transportation
