,name,city,ind_num,ind_str,yyyymmdd,lat,long,city_count,city_ind_count,color
62,Deliveroo,"London, England, United Kingdom",10,Food,2012/01/01,51.5073219,-0.1276474,48,1,#F38787
116,Starbucks,"Seattle, Washington, United States",10,Food,1971/03/31,47.6038321,-122.3300624,14,2,#F38787
214,Dunzo,"Bengaluru, Karnataka, India",10,Food,2015/01/01,12.9791198,77.5912997,6,1,#F38787
216,Grubhub,"Chicago, Illinois, United States",10,Food,2004/01/01,41.8755616,-87.6244212,16,1,#F38787
218,Plenty,"South San Francisco, California, United States",10,Food,2014/08/21,37.6535403,-122.4168664,2,1,#F38787
299,Anheuser-Busch InBev,"New York, New York, United States",10,Food,2008/07/14,40.7127281,-74.0060152,112,5,#F38787
325,HelloFresh,"Berlin, Berlin, Germany",10,Food,2011/01/01,52.5170365,13.3888599,14,1,#F38787
379,Laird Superfood,"Sisters, Oregon, United States",10,Food,2015/01/01,44.290948,-121.5492516,1,1,#F38787
390,BrewDog,"Ellon, Aberdeenshire, United Kingdom",10,Food,2007/04/01,57.365049,-2.0710305,1,1,#F38787
413,NotCo,"Santiago, Region Metropolitana, Chile",10,Food,2015/01/01,-33.447487,-70.673676,1,1,#F38787
433,Mosa Meat,"Maastricht, Limburg, The Netherlands",10,Food,2013/01/01,50.8512438,5.6909768,1,1,#F38787
569,RobinFood,"Bogotá, Distrito Especial, Colombia",10,Food,2018/03/01,4.624335,-74.063644,1,1,#F38787
590,Sweetgreen,"Washington, District of Columbia, United States",10,Food,2007/01/01,38.8949924,-77.0365581,5,1,#F38787
591,Ollie,"New York, New York, United States",10,Food,2016/10/05,40.7127281,-74.0060152,112,5,#F38787
744,Zume Pizza,"Mountain View, California, United States",10,Food,2015/09/08,37.3893889,-122.0832101,21,1,#F38787
750,Vericool,"Livermore, California, United States",10,Food,2015/01/01,37.6820583,-121.7680531,1,1,#F38787
788,Sweetheart Kitchen,"Dubai, Dubai, United Arab Emirates",10,Food,2019/04/16,25.0750095,55.18876088,1,1,#F38787
789,Bowery Farming,"New York, New York, United States",10,Food,2015/01/01,40.7127281,-74.0060152,112,5,#F38787
795,Freshtohome,"Bangalore, Karnataka, India",10,Food,2015/08/01,12.9791198,77.5912997,15,1,#F38787
850,Miso Robotics,"Pasadena, California, United States",10,Food,2016/07/01,34.1476452,-118.1444779,1,1,#F38787
861,Daring Foods,"Los Angeles, California, United States",10,Food,2018/01/01,34.0536909,-118.2427666,12,1,#F38787
862,Bulletproof,"Seattle, Washington, United States",10,Food,2014/01/01,47.6038321,-122.3300624,14,2,#F38787
863,Goldbelly,"New York, New York, United States",10,Food,2012/01/01,40.7127281,-74.0060152,112,5,#F38787
867,Yummy Corp,"Tangerang, Jawa Barat, Indonesia",10,Food,2019/06/01,-6.8211746,107.1434435,1,1,#F38787
871,Blue Apron,"New York, New York, United States",10,Food,2012/01/01,40.7127281,-74.0060152,112,5,#F38787
908,Imperfect Foods,"San Francisco, California, United States",10,Food,2015/07/01,37.7790262,-122.4199061,161,1,#F38787
995,Kraft Heinz,"Mendota, Minnesota, United States",10,Food,2015/07/02,44.8871878,-93.1643869,1,1,#F38787
