,name,city,ind_num,ind_str,yyyymmdd,lat,long,city_count,city_ind_count,color
920,ShoppingGives,"Chicago, Illinois, United States",3,E_Commerce,2015/01/01,41.8755616,-87.6244212,16,2,#CD59B1
930,Sociolla,"Jakarta, Jakarta Raya, Indonesia",3,E_Commerce,2014/01/01,-6.1753942,106.827183,5,2,#CD59B1
940,Beauty Bakerie Cosmetics Brand,"San Diego, California, United States",3,E_Commerce,2011/01/01,32.7174209,-117.1627714,3,1,#CD59B1
949,Roofstock,"Oakland, California, United States",3,E_Commerce,2015/01/01,37.8044557,-122.2713563,9,3,#CD59B1
963,BOND,"New York, New York, United States",3,E_Commerce,2013/01/01,40.7127281,-74.0060152,112,13,#CD59B1
964,Good Buy Gear,"Arvada, Colorado, United States",3,E_Commerce,2016/09/01,39.8211225,-105.220743,1,1,#CD59B1
967,Boxed,"New York, New York, United States",3,E_Commerce,2013/06/01,40.7127281,-74.0060152,112,13,#CD59B1
975,Episerver,"Nashua, New Hampshire, United States",3,E_Commerce,1994/01/08,42.7653662,-71.467566,2,1,#CD59B1
979,Grofers,"Gurgaon, Haryana, India",3,E_Commerce,2013/12/27,28.4646148,77.0299194,5,1,#CD59B1
987,October,"Paris, Ile-de-France, France",3,E_Commerce,2014/09/01,48.8566969,2.3514616,10,1,#CD59B1
