,name,city,ind_num,ind_str,yyyymmdd,lat,long,city_count,city_ind_count
812,Dwolla,"Des Moines, Iowa, United States",2,Financial Services,2008/06/16,41.5910641,-93.6037149,1,1
825,Finch,"Boston, Massachusetts, United States",2,Financial Services,2019/05/01,42.3602534,-71.0582912,19,3
829,Mastercard,"Purchase, New York, United States",2,Financial Services,1966/12/16,41.0409305,-73.7145746,2,1
833,PasarPolis,"Jakarta, Jakarta Raya, Indonesia",2,Financial Services,2015/03/01,-6.1753942,106.827183,5,1
836,NextCapital,"Chicago, Illinois, United States",2,Financial Services,1996/01/01,41.8755616,-87.6244212,16,3
852,OnDeck,"New York, New York, United States",2,Financial Services,2007/01/01,40.7127281,-74.0060152,112,22
853,BitPay,"Atlanta, Georgia, United States",2,Financial Services,2011/05/01,33.7490987,-84.3901849,8,4
868,Toss,"Seoul, Seoul-t'ukpyolsi, South Korea",2,Financial Services,2011/01/01,37.5326,127.024612,3,1
869,Allianz,"München, Bayern, Germany",2,Financial Services,1890-01-01,48.1371079,11.5753822,2,1
874,Financepeer,"Mumbai, Maharashtra, India",2,Financial Services,2017/01/01,18.9387711,72.8353355,13,2
876,Chime,"San Francisco, California, United States",2,Financial Services,2013/01/01,37.7790262,-122.4199061,161,17
878,Mosaic,"Oakland, California, United States",2,Financial Services,2011/01/01,37.8044557,-122.2713563,9,3
883,Bakkt,"Atlanta, Georgia, United States",2,Financial Services,2018/01/01,33.7490987,-84.3901849,8,4
893,Capitolis,"New York, New York, United States",2,Financial Services,2017/01/01,40.7127281,-74.0060152,112,22
900,Revolut,"London, England, United Kingdom",2,Financial Services,2015/07/01,51.5073219,-0.1276474,48,21
915,Bank of America,"Charlotte, North Carolina, United States",2,Financial Services,1998/07/31,35.2272,-80.843083,2,2
919,iZettle,"Stockholm, Stockholms Lan, Sweden",2,Financial Services,2010/04/01,59.3251172,18.0710935,7,2
928,Fundbox,"San Francisco, California, United States",2,Financial Services,2013/01/01,37.7790262,-122.4199061,161,17
941,Barclays,"London, England, United Kingdom",2,Financial Services,1690-11-17,51.5073219,-0.1276474,48,21
943,Deposit Solutions,"Hamburg, Hamburg, Germany",2,Financial Services,2011/01/01,49.023014,11.808202,2,1
944,Lendtable,"San Francisco, California, United States",2,Financial Services,2020/03/01,37.7790262,-122.4199061,161,17
947,BharatPe,"New Delhi, Delhi, India",2,Financial Services,2018/04/01,28.6138954,77.2090057,5,2
957,Canada Pension Plan Investment Board,"Toronto, Ontario, Canada",2,Financial Services,1997/01/01,43.6534817,-79.3839347,9,5
960,MoneyLion,"New York, New York, United States",2,Financial Services,2013/01/01,40.7127281,-74.0060152,112,22
966,QUIN,"Berlin, Berlin, Germany",2,Financial Services,2020/03/01,52.5170365,13.3888599,14,3
991,Mollie,"Amsterdam, Noord-Holland, The Netherlands",2,Financial Services,2004/01/01,52.3727598,4.8936041,6,3
992,Lydia,"Paris, Ile-de-France, France",2,Financial Services,2013/01/01,48.8566969,2.3514616,10,3
999,Rebel,"São Paulo, Sao Paulo, Brazil",2,Financial Services,2016/01/01,-23.5506507,-46.6333824,2,2
