,name,city,ind_num,ind_str,yyyymmdd,lat,long,city_count,city_ind_count,color
44,Yandex,"Moscow, Moscow City, Russian Federation",5,AI,1997/09/23,55.7504461,37.6174943,2,1,#F06A93
46,Petal,"New York, New York, United States",5,AI,2016/01/01,40.7127281,-74.0060152,112,16,#F06A93
51,Lark,"Mountain View, California, United States",5,AI,2011/01/01,37.3893889,-122.0832101,21,4,#F06A93
60,Observe,"San Mateo, California, United States",5,AI,2017/11/01,37.496904,-122.3330573,18,6,#F06A93
91,Sprinklr,"New York, New York, United States",5,AI,2009/09/24,40.7127281,-74.0060152,112,16,#F06A93
93,Datavant,"San Francisco, California, United States",5,AI,2017/01/01,37.7790262,-122.4199061,161,25,#F06A93
107,Seismic,"San Diego, California, United States",5,AI,2010/01/01,32.7174209,-117.1627714,3,1,#F06A93
118,Salsify,"Boston, Massachusetts, United States",5,AI,2012/09/04,42.3602534,-71.0582912,19,4,#F06A93
130,Quantum Metric,"Monument, Colorado, United States",5,AI,2015/01/01,39.0500585,-104.8523657,1,1,#F06A93
131,Papaya Global,"New York, New York, United States",5,AI,2016/01/01,40.7127281,-74.0060152,112,16,#F06A93
135,ByteDance,"Shanghai, Shanghai, China",5,AI,2012/03/01,31.2322758,121.4692071,3,1,#F06A93
141,Coralogix,"San Francisco, California, United States",5,AI,2014/09/15,37.7790262,-122.4199061,161,25,#F06A93
148,Augury,"New York, New York, United States",5,AI,2011/08/01,40.7127281,-74.0060152,112,16,#F06A93
154,Lucid,"New Orleans, Louisiana, United States",5,AI,2010/03/10,29.9499323,-90.0701156,2,1,#F06A93
157,Datadog,"New York, New York, United States",5,AI,2010/01/01,40.7127281,-74.0060152,112,16,#F06A93
163,SOPHiA GENETICS,"Boston, Massachusetts, United States",5,AI,2011/01/01,42.3602534,-71.0582912,19,4,#F06A93
184,Snowflake,"San Mateo, California, United States",5,AI,2012/01/01,37.496904,-122.3330573,18,6,#F06A93
192,Ada,"Toronto, Ontario, Canada",5,AI,2014/01/01,43.6534817,-79.3839347,9,1,#F06A93
196,HubSpot,"Cambridge, Massachusetts, United States",5,AI,2006/06/09,42.3750997,-71.1056157,8,3,#F06A93
209,Jumio,"Palo Alto, California, United States",5,AI,2010/01/05,37.4443293,-122.1598465,14,1,#F06A93
221,Medallia,"San Francisco, California, United States",5,AI,2001/09/01,37.7790262,-122.4199061,161,25,#F06A93
229,Cohesity,"San Jose, California, United States",5,AI,2013/06/01,37.3361905,-121.8905833,13,1,#F06A93
244,XtalPi,"Cambridge, Massachusetts, United States",5,AI,2014/05/01,42.3750997,-71.1056157,8,3,#F06A93
257,HireVue,"South Jordan, Utah, United States",5,AI,2004/04/01,40.5621704,-111.929658,1,1,#F06A93
286,SEMrush,"Boston, Massachusetts, United States",5,AI,2008/08/01,42.3602534,-71.0582912,19,4,#F06A93
339,Segment,"San Francisco, California, United States",5,AI,2011/09/01,37.7790262,-122.4199061,161,25,#F06A93
350,AppsFlyer,"San Francisco, California, United States",5,AI,2011/04/01,37.7790262,-122.4199061,161,25,#F06A93
358,Airship,"Portland, Oregon, United States",5,AI,2009/06/01,45.5202471,-122.6741949,2,1,#F06A93
365,Unioncrate,"New York, New York, United States",5,AI,2016/07/01,40.7127281,-74.0060152,112,16,#F06A93
366,EVRYTHNG,"London, England, United Kingdom",5,AI,2011/01/01,51.5073219,-0.1276474,48,5,#F06A93
370,App Annie,"San Francisco, California, United States",5,AI,2010/03/01,37.7790262,-122.4199061,161,25,#F06A93
