,name,city,ind_num,ind_str,yyyymmdd,lat,long,city_count,city_ind_count,color
690,Jopwell,"New York, New York, United States",11,Others,2014/09/01,40.7127281,-74.0060152,112,7,#696969
739,BBC,"London, England, United Kingdom",11,Others,1922/10/18,51.5073219,-0.1276474,48,6,#696969
761,CORE-POWER (UK) Ltd,"London, England, United Kingdom",11,Others,2018/12/18,51.5073219,-0.1276474,48,6,#696969
781,Naver Corporation,"Seongnam, Kyonggi-do, South Korea",11,Others,1999/06/01,37.4201556,127.1262092,1,1,#696969
802,Sonder,"San Francisco, California, United States",11,Others,2012/07/01,37.7790262,-122.4199061,161,6,#696969
819,boAt,"Mumbai, Maharashtra, India",11,Others,2016/01/01,18.9387711,72.8353355,13,3,#696969
838,Fanatiz,"Miami, Florida, United States",11,Others,2017/01/01,25.7742658,-80.1936589,4,2,#696969
841,Houzz,"Palo Alto, California, United States",11,Others,2009/01/01,37.4443293,-122.1598465,14,3,#696969
847,Manticore Games,"San Mateo, California, United States",11,Others,2016/01/01,37.496904,-122.3330573,18,1,#696969
864,Gymshark,"Solihull, Solihull, United Kingdom",11,Others,2012/01/01,52.4146286,-1.7888672,1,1,#696969
881,Glossier,"New York, New York, United States",11,Others,2010/01/01,40.7127281,-74.0060152,112,7,#696969
902,Numan,"London, England, United Kingdom",11,Others,2018/01/01,51.5073219,-0.1276474,48,6,#696969
935,Sunrun,"San Francisco, California, United States",11,Others,2007/01/01,37.7790262,-122.4199061,161,6,#696969
952,Ryanair,"Swords, Dublin, Ireland",11,Others,1985/01/01,53.4720536,-6.223144167,1,1,#696969
955,TIER Mobility,"Berlin, Berlin, Germany",11,Others,2018/07/01,52.5170365,13.3888599,14,1,#696969
958,Stillfront Group,"Linköping, Ostergotlands Lan, Sweden",11,Others,2007/01/01,58.4098135,15.6245252,1,1,#696969
978,SunPower,"San Jose, California, United States",11,Others,1985/01/01,37.3361905,-121.8905833,13,1,#696969
