a,goog,amzn,fb,apple
2020/09/30,299240,282180,146440,323890
2020/08/30,292323.3333,274223.3333,144190,321706.6667
2020/07/30,285406.6667,266266.6667,141940,319523.3333
2020/06/30,278490,258310,139690,317340
2020/05/30,276793.3333,245953.3333,139250,318360
2020/04/30,275096.6667,233596.6667,138810,319380
2020/03/30,273400,221240,138370,320400
2020/02/29,274236.6667,222576.6667,136706.6667,327140
2020/01/30,275073.3333,223913.3333,135043.3333,333880
2019/12/30,275910,225250,133380,340620
2019/11/30,271620,216533.3333,130393.3333,339920
2019/10/30,267330,207816.6667,127406.6667,339220
2019/09/30,263040,199100,124420,338520
2019/08/30,261060,196516.6667,121950,333093.3333
2019/07/30,259080,193933.3333,119480,327666.6667
2019/06/30,257100,191350,117010,322240
2019/05/30,253183.3333,186933.3333,114500,328826.6667
2019/04/30,249266.6667,182516.6667,111990,335413.3333
2019/03/30,245350,178100,109480,342000
2019/02/28,241163.3333,172950,105430,352573.3333
2019/01/30,236976.6667,167800,101380,363146.6667
2018/12/30,232790,162650,97330,373720
2018/11/30,229040,156333.3333,95703.33333,371053.3333
2018/10/30,225290,150016.6667,94076.66667,368386.6667
2018/09/30,221540,143700,92450,365720
2018/08/30,218230,140500,91730,360213.3333
2018/07/30,214920,137300,91010,354706.6667
2018/06/30,211610,134100,90290,349200
2018/05/30,210053.3333,131520,89840,355300
2018/04/30,208496.6667,128940,89390,361400
2018/03/30,206940,126360,88940,367500
2018/02/28,203726.6667,128010,87466.66667,380596.6667
2018/01/30,200513.3333,129660,85993.33333,393693.3333
2017/12/30,197300,131310,84520,406790
2017/11/30,194713.3333,125963.3333,82680,396300
2017/10/30,192126.6667,120616.6667,80840,385810
2017/09/30,189540,115270,79000,375320
2017/08/30,185900,106106.6667,77280,365270
2017/07/30,182260,96943.33333,75560,355220
2017/06/30,178620,87780,73840,345170
2017/05/30,176666.6667,85510,72130,341623.3333
2017/04/30,174713.3333,83240,70420,338076.6667
2017/03/30,172760,80970,68710,334530
2017/02/28,171006.6667,81780,67460,333400
2017/01/30,169253.3333,82590,66210,332270
2016/12/30,167500,83400,64960,331140
2016/11/30,164983.3333,79233.33333,63196.66667,327990
2016/10/30,162466.6667,75066.66667,61433.33333,324840
2016/09/30,159950,70900,59670,321690
2016/08/30,158063.3333,68960,58360,316326.6667
2016/07/30,156176.6667,67020,57050,310963.3333
2016/06/30,154290,65080,55740,305600
2016/05/30,152776.6667,63763.33333,54520,305493.3333
2016/04/30,151263.3333,62446.66667,53300,305386.6667
2016/03/30,149750,61130,52080,305280
2016/02/29,148986.6667,62336.66667,51190,301280
2016/01/30,148223.3333,63543.33333,50300,297280
2015/12/30,147460,64750,49410,293280
2015/11/30,146400,61910,48430,292300
2015/10/30,145340,59070,47450,291320
2015/09/30,144280,56230,46470,290340
2015/08/30,142456.6667,54966.66667,45690,284610
2015/07/30,140633.3333,53703.33333,44910,278880
2015/06/30,138810,52440,44130,273150
2015/05/30,137006.6667,51653.33333,43423.33333,269163.3333
2015/04/30,135203.3333,50866.66667,42716.66667,265176.6667
2015/03/30,133400,50080,42010,261190
2015/02/28,131996.6667,51553.33333,41330,261423.3333
2015/01/30,130593.3333,53026.66667,40650,261656.6667
2014/12/30,129190,54500,39970,261890
2014/11/30,128053.3333,49806.66667,34710,251873.3333
2014/10/30,126916.6667,45113.33333,29450,241856.6667
2014/09/30,125780,40420,24190,231840
2014/08/30,124390,39580,23050,228733.3333
2014/07/30,123000,38740,21910,225626.6667
2014/06/30,121610,37900,20770,222520
2014/05/30,119916.6667,37386.66667,20190,217010
2014/04/30,118223.3333,36873.33333,19610,211500
2014/03/30,116530,36360,19030,205990
2014/02/28,114660,37626.66667,18653.33333,212386.6667
2014/01/30,112790,38893.33333,18276.66667,218783.3333
2013/12/30,110920,40160,17900,225180
2013/11/30,108970,37393.33333,16910,219120
2013/10/30,107020,34626.66667,15920,213060
2013/09/30,105070,31860,14930,207000
2013/08/30,103773.3333,31113.33333,15193.33333,204620
2013/07/30,102476.6667,30366.66667,15456.66667,202240
2013/06/30,101180,29620,15720,199860
2013/05/30,99683.33333,29206.66667,15533.33333,198153.3333
2013/04/30,98186.66667,28793.33333,15346.66667,196446.6667
2013/03/30,96690,28380,15160,194740
2013/02/28,95726.66667,29773.33333,15140,195190
2013/01/30,94763.33333,31166.66667,15120,195640
2012/12/30,93800,32560,15100,196090
2012/11/30,92443.33333,29316.66667,15413.33333,189413.3333
2012/10/30,91086.66667,26073.33333,15726.66667,182736.6667
2012/09/30,89730,22830,16040,176060
2012/08/30,88503.33333,22226.66667,15670,171673.3333
2012/07/30,87276.66667,21623.33333,15300,167286.6667
2012/06/30,86050,21020,14930,162900
2012/05/30,83080,20793.33333,12348,158910
2012/04/30,80110,20566.66667,9766,154920
2012/03/30,77140,20340,7184,150930
2012/02/29,75616.66667,21986.66667,6899.666667,146846.6667
2012/01/30,74093.33333,23633.33333,6615.333333,142763.3333
2011/12/30,72570,25280,6331,138680
2011/11/30,71410,23203.33333,4220.666667,131243.3333
2011/10/30,70250,21126.66667,2110.333333,123806.6667
2011/09/30,69090,19050,,116370
2011/08/30,67680,18680,,113166.6667
2011/07/30,66270,18310,,109963.3333
2011/06/30,64860,17940,,106760
2011/05/30,63226.66667,17586.66667,,102806.6667
2011/04/30,61593.33333,17233.33333,,98853.33333
2011/03/30,59960,16880,,94900
