a,goog,amzn,fb,apple
2011/02/28,59256.66667,17520,,92180
2011/01/30,58553.33333,18160,,89460
2010/12/30,57850,18800,,86740
2010/11/30,56346.66667,17253.33333,,82886.66667
2010/10/30,54843.33333,15706.66667,,79033.33333
2010/09/30,53340,14160,,75180
2010/08/30,51573.33333,13573.33333,,71693.33333
2010/07/30,49806.66667,12986.66667,,68206.66667
2010/06/30,48040,12400,,64720
2010/05/30,46316.66667,12280,,62166.66667
2010/04/30,44593.33333,12160,,59613.33333
2010/03/30,42870,12040,,57060
2010/02/28,42080,12630,,56016.66667
2010/01/30,41290,13220,,54973.33333
2009/12/30,40500,13810,,53930
2009/11/30,39566.66667,12197.33333,,51786.66667
2009/10/30,38633.33333,10584.66667,,49643.33333
2009/09/30,37700,8972,,47500
2009/08/30,36853.33333,8539.666667,,47713.33333
2009/07/30,36006.66667,8107.333333,,47926.66667
2009/06/30,35160,7675,,48140
2009/05/30,34610,7443.333333,,46506.66667
2009/04/30,34060,7211.666667,,44873.33333
2009/03/30,33510,6980,,43240
2009/02/28,32930,7424.666667,,43090
2009/01/30,32350,7869.333333,,42940
2008/12/30,31770,8314,,42790
2008/11/30,31450,7731.333333,,40583.33333
2008/10/30,31130,7148.666667,,38376.66667
2008/09/30,30810,6566,,36170
2008/08/30,30266.66667,6484.666667,,34683.33333
2008/07/30,29723.33333,6403.333333,,33196.66667
2008/06/30,29180,6322,,31710
2008/05/30,28653.33333,6175.666667,,
2008/04/30,28126.66667,6029.333333,,
2008/03/30,27600,5883,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
